DataZone,SubHSCP,SubHSCPName,CA,HSCP,HB,Country
S01006789,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006790,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006791,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006792,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006793,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006794,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006795,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006796,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006797,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006798,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006799,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006800,PN0000009,Marr,S12000034,S37000002,S08000020,S92000003
S01006801,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006802,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006803,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006804,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006805,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006806,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006807,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006808,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006809,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006810,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006811,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006812,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006813,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
S01006814,PN0000008,Kincardine & Mearns,S12000034,S37000002,S08000020,S92000003
