DataZone2011Code,DataZone2011Name,CouncilArea2019Name,All ages,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01010601,Inverness Lochardil and Holm Mains - 03,Highland,669,2,4,4,3,10,8,6,10,1,10,3,7,8,9,5,9,3,10,4,4,9,11,8,9,3,3,5,5,7,3,3,5,6,9,4,7,7,6,8,9,13,8,6,1,12,9,5,4,12,7,8,8,15,9,15,7,6,5,4,11,6,9,4,12,8,6,14,2,4,6,5,7,7,11,10,9,9,11,9,3,12,6,12,7,8,10,4,9,7,7,23
S01010602,Inverness Lochardil and Holm Mains - 04,Highland,509,5,3,9,8,7,6,6,5,8,3,5,2,3,3,5,3,3,7,2,6,5,5,1,4,3,8,4,4,1,9,10,6,9,6,3,15,13,4,11,15,18,4,3,3,9,7,3,7,3,13,9,4,4,9,4,3,7,10,8,9,8,11,7,5,8,8,8,5,4,4,6,6,5,6,7,2,2,9,3,3,3,1,3,2,1,1,1,2,1,3,2
S01010603,Inverness Lochardil and Holm Mains - 05,Highland,727,2,2,2,8,3,7,5,7,7,3,3,4,3,4,8,4,11,7,11,6,6,6,7,5,7,4,12,2,6,9,7,7,7,6,5,9,8,8,11,7,4,10,3,2,4,10,8,9,7,6,17,12,7,15,12,17,11,14,15,14,15,12,24,10,13,12,9,11,16,9,18,13,18,8,7,11,6,6,8,10,7,8,3,2,10,5,2,3,1,4,3
S01010604,Inverness Lochardil and Holm Mains - 06,Highland,475,5,2,4,0,5,3,4,5,1,8,4,11,5,8,8,4,6,6,9,5,4,1,4,5,2,3,0,5,3,6,6,3,1,7,0,9,6,3,11,6,1,7,2,11,5,7,11,11,8,9,1,11,9,11,9,12,5,7,9,11,2,4,6,10,7,3,7,6,4,5,5,7,7,6,8,2,3,5,5,1,0,1,4,4,0,0,2,3,0,2,11
S01010605,Inverness Lochardil and Holm Mains - 07,Highland,830,3,10,7,9,7,9,7,4,9,8,9,10,11,6,6,10,9,8,6,7,9,5,5,7,8,9,3,4,6,7,7,7,12,10,6,7,21,5,11,14,2,8,7,10,12,10,12,8,14,9,13,11,4,9,11,12,9,12,8,9,18,13,12,8,14,15,8,13,15,14,12,7,21,13,15,6,15,7,14,17,12,5,8,8,4,4,3,4,5,4,8
S01010606,Inverness Drummond - 01,Highland,764,5,2,7,9,8,7,8,8,4,9,8,14,11,10,7,4,12,17,1,14,10,7,7,9,9,11,11,11,4,7,12,12,17,5,20,13,19,7,17,13,12,20,9,3,5,5,8,7,13,6,11,3,12,13,15,13,9,8,6,16,12,10,8,9,13,3,5,1,5,6,3,9,9,9,14,5,6,9,8,2,5,6,9,4,1,3,5,1,2,0,2
S01010607,Inverness Drummond - 02,Highland,845,7,6,5,7,7,14,5,12,7,5,8,8,9,15,5,7,7,10,7,12,10,5,5,6,10,9,9,14,9,8,5,4,6,11,15,16,11,9,11,14,5,14,8,6,10,7,14,9,8,8,19,15,12,20,21,10,30,10,15,7,16,16,11,8,18,11,10,9,18,10,16,12,10,5,9,2,3,2,3,6,6,5,7,4,4,2,6,5,5,3,5
S01010608,Inverness Drummond - 03,Highland,631,6,7,5,8,10,8,5,13,8,14,5,6,11,18,10,13,11,9,10,5,10,10,13,13,11,10,16,12,3,13,8,7,7,9,10,6,11,5,17,3,5,1,9,6,12,4,7,11,4,2,7,4,5,16,13,5,17,4,7,8,7,3,3,7,5,5,10,5,4,1,3,6,6,2,4,4,4,1,0,2,5,3,5,1,2,0,3,2,0,1,4
S01010609,Inverness Drummond - 04,Highland,539,5,6,3,7,4,12,3,14,10,7,9,13,4,7,7,13,7,3,7,0,3,3,5,7,5,6,9,6,11,11,10,10,2,6,4,6,11,12,12,9,8,7,4,4,9,6,7,10,4,4,9,11,3,6,9,9,10,9,6,7,2,5,5,5,6,4,5,3,4,4,6,2,4,7,1,4,4,4,3,4,4,5,3,1,1,2,3,0,1,0,6
S01010610,Inverness Drummond - 05,Highland,631,4,3,3,5,1,1,4,5,4,5,2,5,0,1,10,6,12,8,3,3,5,1,4,4,8,7,1,2,8,4,5,7,14,6,4,9,7,5,2,6,3,7,4,8,6,5,4,2,6,11,11,15,11,2,5,4,21,14,9,10,10,15,16,9,9,6,13,19,11,7,13,16,20,12,0,8,11,11,11,6,7,3,14,4,6,3,2,5,3,6,3
S01010611,Inverness Hilton - 01,Highland,908,10,13,14,7,11,13,4,14,14,6,10,13,9,8,7,6,9,6,8,7,10,8,9,15,11,9,10,14,9,8,13,11,9,12,18,11,27,15,13,8,18,13,12,19,11,17,11,8,17,14,13,9,22,11,11,12,18,8,12,12,14,8,10,11,12,11,7,10,5,11,13,10,9,11,3,10,7,5,5,6,7,2,0,2,4,1,6,0,2,1,8
S01010612,Inverness Hilton - 02,Highland,743,8,8,9,8,5,8,14,8,10,7,4,3,14,20,9,11,5,8,12,9,14,9,7,2,6,11,8,1,13,8,13,6,8,3,14,4,13,5,12,15,8,9,8,4,5,8,11,18,14,7,10,10,14,5,12,9,9,8,10,10,7,4,6,8,9,12,9,5,5,13,8,5,7,13,16,6,8,8,7,5,10,6,1,3,3,3,2,0,4,3,6
S01010613,Inverness Hilton - 03,Highland,725,5,6,5,9,12,9,8,3,9,7,10,7,10,15,15,5,5,1,11,12,2,6,7,6,4,8,4,7,10,6,8,13,8,5,9,8,10,6,9,10,17,10,14,6,10,8,4,10,5,4,11,4,2,9,9,6,16,10,10,8,6,14,6,6,10,14,8,12,16,9,12,7,14,11,7,9,11,2,4,5,9,10,6,2,7,4,5,3,5,1,7
S01010614,Inverness Hilton - 04,Highland,626,3,7,15,9,5,6,6,11,12,5,6,7,10,7,7,14,6,8,15,3,6,8,9,8,5,8,4,4,3,15,4,8,1,12,12,15,11,10,6,8,13,10,10,6,6,6,2,11,7,8,9,20,10,9,11,5,11,6,6,7,7,6,8,4,6,6,11,3,4,3,6,3,4,10,5,2,6,4,5,9,2,3,1,4,2,2,0,0,1,2,5
S01010615,Inverness Hilton - 05,Highland,757,10,5,8,10,6,9,9,10,5,15,3,17,8,13,14,8,10,3,4,4,9,7,1,7,15,13,6,16,14,6,13,13,15,13,20,13,6,16,15,19,18,9,15,14,19,2,10,7,11,7,4,16,10,12,13,6,6,11,10,7,16,7,4,11,12,6,6,11,2,6,7,4,9,1,3,4,4,2,0,2,5,6,2,5,2,0,2,1,1,0,1
S01010616,Inverness Drakies - 01,Highland,762,6,4,5,10,10,1,12,6,11,6,7,8,7,5,3,9,7,7,4,4,5,6,11,5,7,10,9,5,6,4,4,5,11,10,18,9,12,10,14,12,9,9,3,10,9,18,14,8,12,9,11,12,14,14,23,11,13,9,16,14,9,4,10,9,7,12,6,7,9,7,11,12,10,9,9,5,11,7,7,8,5,8,4,7,7,6,2,2,1,2,6
S01010617,Inverness Drakies - 02,Highland,840,3,7,7,12,11,9,5,10,8,12,9,10,9,5,12,9,6,16,9,12,4,6,7,2,6,8,2,5,4,11,7,7,12,9,6,13,5,9,12,13,9,14,9,11,8,8,9,16,13,8,16,11,10,12,10,20,25,17,16,16,11,12,13,13,10,11,16,5,12,14,12,4,11,13,5,14,3,16,5,9,7,6,7,4,4,5,3,2,0,1,5
S01010618,Inverness Drakies - 03,Highland,657,2,6,9,5,5,7,5,12,6,9,4,12,4,8,5,11,7,4,7,2,4,6,2,4,9,4,7,1,4,9,17,8,9,4,11,3,4,12,6,16,6,13,6,11,7,9,10,10,9,10,7,10,4,12,12,11,10,14,10,11,12,12,18,10,10,10,9,15,3,6,4,11,11,5,11,6,3,7,10,3,5,2,2,1,3,3,0,2,0,0,1
S01010619,"Inverness Central, Raigmore and Longman - 01",Highland,558,4,10,5,9,7,8,9,8,4,6,0,1,6,1,2,4,3,4,6,6,5,6,4,7,14,11,13,13,21,17,13,10,6,6,13,4,9,14,12,15,12,7,8,11,13,7,7,12,3,10,11,9,8,13,12,1,12,4,0,4,7,2,2,4,11,5,7,1,5,3,5,2,4,3,2,3,0,1,1,3,0,1,0,1,0,1,1,2,0,0,1
S01010620,"Inverness Central, Raigmore and Longman - 02",Highland,599,4,4,0,4,4,4,1,4,6,3,2,7,5,2,2,6,1,0,6,9,1,16,10,19,7,26,13,16,19,30,16,18,9,9,35,11,15,10,19,8,7,14,10,9,5,7,4,10,6,11,6,7,10,6,11,5,4,2,8,6,4,2,10,6,7,0,3,3,1,3,2,0,0,2,3,0,5,3,1,1,2,4,1,1,0,0,1,0,1,0,4
S01010621,"Inverness Central, Raigmore and Longman - 03",Highland,874,4,11,7,7,4,6,8,16,7,2,8,6,6,5,11,6,12,15,10,9,6,12,5,11,10,11,15,11,16,22,12,14,8,14,5,19,0,12,23,1,17,12,10,8,17,13,12,11,16,9,21,18,11,11,8,12,18,9,19,21,13,9,15,9,9,10,11,17,9,6,10,7,4,14,7,7,3,8,6,3,4,5,6,7,0,2,5,4,0,0,4
S01010622,"Inverness Central, Raigmore and Longman - 04",Highland,618,9,6,13,6,10,7,8,6,6,14,6,10,15,7,2,8,5,4,12,6,2,6,10,4,6,9,10,9,7,7,6,7,7,7,15,9,6,19,3,13,12,10,11,13,6,7,11,3,4,9,3,11,8,5,4,7,5,9,7,10,16,8,6,4,11,6,10,3,4,6,4,2,6,10,1,7,0,1,5,1,2,5,3,4,2,3,3,3,1,4,0
S01010623,"Inverness Central, Raigmore and Longman - 05",Highland,673,14,16,19,25,17,20,17,24,7,17,4,5,23,13,19,4,17,7,12,9,8,10,4,14,8,6,4,13,10,8,15,7,8,6,5,5,20,13,5,4,21,10,8,5,4,5,3,13,15,5,2,3,0,4,9,6,5,10,5,6,1,5,7,3,3,3,8,7,3,8,8,0,1,5,0,0,1,0,0,1,2,1,0,1,0,0,0,1,0,0,3
S01010624,"Inverness Central, Raigmore and Longman - 06",Highland,585,7,6,4,15,12,14,7,12,2,3,7,4,2,7,11,4,6,11,7,5,12,9,21,8,17,11,2,14,5,15,13,8,10,14,11,16,11,2,5,3,19,3,3,8,9,17,11,8,7,10,6,7,3,5,15,8,1,6,1,6,6,5,7,10,5,3,6,0,3,8,3,4,0,0,6,3,0,1,1,1,1,2,0,0,1,0,3,0,0,0,0
S01010625,Inverness Crown and Haugh - 01,Highland,736,2,3,1,3,3,4,10,5,5,4,6,9,10,6,9,11,10,3,12,9,1,5,9,8,1,6,9,1,7,3,5,9,0,4,3,6,0,8,8,9,6,8,9,8,7,5,4,11,7,11,3,12,11,20,13,13,10,19,11,5,14,15,11,6,12,9,13,12,18,14,4,17,7,9,8,9,9,12,15,7,6,10,14,8,10,9,4,7,5,6,16
S01010626,Inverness Crown and Haugh - 02,Highland,951,2,4,4,4,10,6,9,8,3,9,9,4,7,11,7,13,7,13,6,2,6,9,8,12,11,8,8,4,3,4,2,2,14,7,9,7,3,11,4,6,11,12,14,9,16,3,5,11,11,26,14,9,18,9,23,20,18,12,15,21,11,18,13,8,10,11,21,12,7,15,15,11,14,17,14,7,18,9,10,7,9,14,16,13,16,11,9,10,6,2,44
S01010627,Inverness Crown and Haugh - 03,Highland,729,6,6,1,4,4,7,4,5,2,11,4,9,3,5,5,3,5,7,10,5,2,8,10,8,13,11,10,17,15,15,11,24,16,13,4,13,14,8,13,9,12,8,4,11,6,10,7,12,5,7,2,7,9,9,11,4,5,13,10,7,7,8,4,5,9,11,19,11,14,2,6,13,7,7,10,5,5,6,6,4,4,8,5,6,7,3,5,2,2,6,23
S01010628,Inverness Crown and Haugh - 04,Highland,905,9,2,6,8,2,5,4,8,11,4,10,5,12,7,10,9,11,3,6,7,6,2,15,4,6,14,15,13,15,8,14,13,17,15,25,13,20,26,24,27,14,17,6,7,13,16,10,14,16,13,19,10,13,9,16,14,19,15,11,14,12,18,13,14,11,7,5,3,5,0,8,5,10,3,4,6,5,8,9,3,2,7,8,6,8,2,4,5,3,0,14
S01010629,Inverness Crown and Haugh - 05,Highland,1074,6,4,7,6,5,7,5,8,6,12,8,6,9,9,11,8,12,6,9,13,10,10,9,14,14,16,4,12,17,7,14,4,2,12,19,2,16,4,4,11,7,16,12,9,14,17,15,3,5,18,9,12,18,24,17,15,13,19,14,19,12,15,12,14,7,7,12,22,22,12,25,10,11,13,9,16,14,24,10,14,15,16,21,8,14,8,10,8,12,8,39
S01010630,Inverness Ballifeary and Dalneigh - 01,Highland,555,2,4,6,4,10,8,6,10,9,8,6,5,7,13,11,7,1,7,6,3,5,7,7,8,10,5,8,1,1,5,9,7,9,5,10,5,8,11,18,1,7,11,12,8,6,10,4,11,13,10,8,4,8,6,10,7,10,7,4,4,4,14,6,11,3,6,5,4,1,1,8,4,4,5,0,7,5,0,1,2,2,3,5,0,6,1,1,3,2,2,6
S01010631,Inverness Ballifeary and Dalneigh - 02,Highland,515,5,7,6,7,4,8,1,4,2,4,1,9,2,1,0,5,3,0,6,0,2,11,5,10,4,10,13,7,13,13,15,2,7,21,8,15,12,11,10,5,9,13,3,5,6,4,0,3,6,5,5,6,9,4,4,6,3,8,8,3,6,3,3,1,4,4,1,4,6,5,1,5,5,2,5,4,4,0,1,2,5,0,3,5,8,5,5,9,3,7,20
S01010632,Inverness Ballifeary and Dalneigh - 03,Highland,893,16,11,5,8,13,5,6,11,4,10,11,6,7,8,3,9,9,8,11,15,6,5,12,6,9,12,16,9,20,20,15,12,15,14,8,7,5,1,16,11,11,10,7,5,13,11,16,13,14,9,10,8,12,16,11,18,24,11,11,18,13,18,16,19,6,11,8,6,5,6,8,10,11,5,9,5,7,9,12,13,5,7,7,5,7,6,3,5,4,2,2
S01010633,Inverness Ballifeary and Dalneigh - 04,Highland,1003,9,9,8,12,13,14,16,15,19,14,13,14,13,14,18,14,11,19,7,13,15,16,11,15,9,14,12,14,10,6,17,9,11,7,10,11,17,13,17,10,20,12,5,8,8,11,8,12,6,13,14,10,18,14,17,20,19,16,16,12,16,20,18,13,7,10,14,7,8,6,3,8,11,8,4,8,6,6,10,5,2,6,6,7,7,1,3,1,1,5,8
S01010634,Inverness Ballifeary and Dalneigh - 05,Highland,638,3,3,5,1,8,11,8,11,7,11,10,10,12,16,5,3,6,11,2,15,4,10,6,6,10,14,3,14,4,10,12,10,15,8,10,15,7,11,12,7,17,8,12,4,12,6,4,11,4,4,5,13,7,12,3,2,7,6,4,10,7,3,8,3,8,5,6,2,12,6,8,4,7,8,6,4,4,4,2,4,4,5,3,3,2,1,1,2,3,2,4
S01010635,Inverness Ballifeary and Dalneigh - 06,Highland,753,7,7,5,4,7,10,13,12,10,6,4,8,7,15,11,5,12,9,8,7,8,7,12,22,10,4,7,3,9,5,5,6,6,5,3,4,9,18,12,15,12,9,7,12,17,6,5,11,12,8,6,12,12,9,14,17,16,15,17,9,10,12,4,7,7,5,4,6,5,8,12,8,8,8,3,4,8,15,3,7,7,5,5,6,3,4,3,3,1,2,7
S01010636,Inverness Muirtown - 01,Highland,774,7,9,9,2,4,12,11,7,3,8,9,3,5,3,6,6,8,10,9,0,6,12,4,15,5,10,8,8,12,15,6,7,12,12,13,11,11,10,8,21,10,14,18,6,4,8,9,7,10,13,17,3,16,9,10,18,11,5,16,16,15,14,14,7,7,6,10,5,13,10,2,7,5,17,6,10,6,9,7,8,1,6,5,6,6,3,5,1,2,0,4
S01010637,Inverness Muirtown - 02,Highland,505,7,2,6,2,3,1,4,1,3,6,2,5,4,2,2,2,0,1,3,2,4,1,4,3,6,3,9,8,8,13,12,7,5,12,19,18,3,8,6,6,6,7,1,9,6,9,4,5,9,3,2,12,10,11,8,10,10,6,12,12,4,9,2,12,6,15,7,2,2,8,1,7,4,3,8,3,4,4,8,3,5,1,5,0,6,3,2,3,1,2,0
S01010638,Inverness Muirtown - 03,Highland,742,5,5,7,7,6,3,2,7,3,2,4,8,9,3,4,8,10,5,5,0,8,4,2,9,5,18,4,8,6,7,18,7,8,7,3,4,16,12,15,11,7,7,10,10,4,10,14,5,9,7,13,11,8,9,13,17,16,8,12,6,11,13,11,7,17,10,8,11,3,18,8,8,8,17,9,5,13,15,6,4,13,4,3,6,5,7,7,2,2,6,14
S01010639,Inverness Muirtown - 04,Highland,1061,12,12,15,12,12,9,12,9,13,2,16,7,5,9,7,4,16,11,14,14,10,17,10,15,15,18,11,13,19,26,16,19,21,14,23,22,25,7,9,7,18,13,12,6,19,18,16,15,26,24,16,11,22,12,16,12,15,15,15,12,16,6,11,8,8,19,11,13,14,13,6,7,16,14,3,5,5,10,4,4,1,3,6,3,3,3,2,1,2,1,2
S01010640,Inverness Muirtown - 05,Highland,612,5,6,7,3,6,3,1,6,8,2,1,0,2,3,1,1,2,8,4,7,12,7,6,7,6,7,10,10,19,17,2,8,14,6,14,12,16,8,6,19,3,1,5,10,2,12,6,7,10,9,16,4,5,20,3,8,14,18,22,4,7,10,6,4,10,7,7,6,8,3,9,7,6,5,9,4,7,12,4,1,0,4,0,5,3,1,1,2,0,0,3
S01010641,Inverness Merkinch - 01,Highland,957,7,16,9,7,14,5,7,10,10,14,9,9,6,13,7,6,12,9,10,7,10,16,14,15,16,16,17,15,11,15,21,17,14,18,12,19,7,24,18,26,11,19,20,13,11,11,21,19,16,10,3,14,13,17,7,9,4,15,16,6,17,17,11,8,13,7,10,11,5,4,9,8,3,3,4,2,5,6,10,3,4,2,1,2,3,6,0,2,2,4,12
S01010642,Inverness Merkinch - 02,Highland,1063,19,23,18,14,17,17,16,10,19,14,13,14,9,9,18,17,13,18,23,21,8,14,13,10,14,32,7,11,11,15,11,21,14,16,12,24,16,18,18,14,12,19,17,9,19,7,13,12,21,17,12,16,10,14,22,12,13,4,10,12,11,7,10,11,4,11,12,8,6,9,2,12,11,7,3,1,6,5,6,6,5,5,0,2,2,2,3,0,0,1,3
S01010643,Inverness Merkinch - 03,Highland,697,3,9,12,13,8,13,11,7,14,20,8,18,15,9,12,10,9,10,17,16,14,8,7,9,10,5,11,5,13,11,7,6,8,12,14,9,4,7,12,13,8,11,8,3,7,10,6,12,13,13,12,4,10,6,0,9,16,4,8,3,9,12,11,7,5,7,6,4,5,3,6,5,1,7,3,2,4,3,5,1,2,1,0,0,3,0,0,1,0,0,2
S01010644,Inverness Merkinch - 04,Highland,637,7,10,15,8,7,12,4,7,14,3,7,13,13,15,3,11,7,8,3,2,4,2,5,7,17,5,5,6,8,10,8,9,11,12,12,11,13,12,4,6,18,9,6,3,12,4,9,6,6,14,12,4,9,8,18,15,5,6,8,3,13,9,13,5,2,3,8,6,11,2,4,4,8,2,6,4,4,0,5,3,4,3,0,2,0,4,0,0,0,0,1
S01010645,Inverness Scorguie - 01,Highland,509,6,0,4,2,7,2,5,4,7,4,2,6,1,3,3,1,4,0,5,1,0,5,8,2,6,1,18,4,13,8,2,14,7,3,3,5,3,4,3,8,8,7,4,6,1,7,13,10,11,4,5,8,23,9,5,14,12,13,10,5,12,13,9,9,11,7,8,7,4,4,7,2,8,13,7,2,2,5,1,3,3,2,0,1,1,3,0,2,0,0,4
S01010646,Inverness Scorguie - 02,Highland,633,3,6,2,8,5,5,7,6,4,4,13,3,6,8,4,7,3,4,2,7,3,4,11,5,6,9,2,8,10,6,10,12,4,6,3,3,14,2,13,8,4,6,9,10,7,7,5,9,7,2,6,5,11,12,8,17,10,7,6,6,13,14,15,20,9,16,10,15,9,8,7,11,14,9,10,5,6,4,1,3,3,3,3,4,3,5,4,0,2,2,5
S01010647,Inverness Scorguie - 03,Highland,634,1,2,1,5,1,0,0,3,6,1,2,2,4,3,6,7,2,0,1,4,3,5,5,7,3,6,8,4,1,7,8,9,9,0,9,9,8,9,9,5,7,1,0,4,7,8,1,8,1,3,15,16,10,9,7,6,17,15,9,17,8,9,19,19,11,14,12,14,11,14,3,7,7,11,13,7,6,3,8,13,4,6,5,8,10,5,6,7,6,6,26
S01010648,Inverness Scorguie - 04,Highland,570,3,3,1,5,6,1,4,4,4,5,6,5,8,2,8,7,3,2,7,3,5,10,7,8,2,6,7,6,3,4,8,9,6,15,9,3,8,16,3,6,7,13,7,8,5,4,0,6,9,8,6,6,9,7,9,13,11,11,8,11,5,15,10,10,11,6,13,20,7,6,1,8,8,3,11,5,4,5,5,3,8,2,2,2,1,0,4,1,0,1,7
S01010649,Inverness Scorguie - 05,Highland,560,2,2,2,3,6,4,3,6,4,6,3,9,3,5,8,5,6,7,2,8,4,6,4,3,9,3,5,10,10,4,3,4,4,5,5,11,5,5,7,2,12,8,8,5,6,9,10,6,6,4,8,10,5,10,7,8,7,4,11,11,10,5,7,5,8,9,5,6,10,7,6,3,6,11,8,8,9,13,10,3,3,9,1,3,5,9,4,1,2,5,11
S01010650,Inverness Kinmylies and South West - 01,Highland,1356,11,27,26,25,34,20,25,19,17,18,18,17,22,13,13,13,13,9,8,9,13,13,9,12,9,10,24,11,22,17,12,16,27,25,36,35,27,28,26,28,21,24,30,16,19,24,20,18,25,22,17,21,21,19,22,12,21,15,25,10,12,13,18,23,13,9,8,13,2,9,12,7,7,7,3,3,4,3,3,3,3,4,4,4,4,1,0,0,1,1,3
S01010651,Inverness Kinmylies and South West - 02,Highland,629,6,5,2,8,4,8,10,11,7,11,6,8,11,9,12,7,2,10,2,6,8,5,3,6,5,9,14,7,5,10,2,3,8,12,6,3,6,10,10,14,18,6,5,6,12,5,7,6,5,8,7,8,2,10,7,6,21,11,5,6,9,9,8,13,12,18,11,8,12,4,7,12,1,5,8,3,3,5,4,2,2,3,3,4,1,1,1,2,1,1,4
S01010652,Inverness Kinmylies and South West - 03,Highland,844,12,12,15,11,12,9,8,14,8,17,7,6,13,6,10,8,6,8,2,6,7,6,12,6,5,10,13,13,10,11,11,8,13,11,12,10,19,15,21,15,10,8,11,2,7,17,8,7,7,14,9,12,23,12,18,14,13,11,12,8,6,12,11,13,10,17,8,6,12,8,16,7,10,7,8,12,4,4,3,5,5,2,4,1,2,1,6,0,0,1,2
S01010653,Inverness Kinmylies and South West - 04,Highland,560,1,5,4,4,4,1,0,3,4,4,4,4,3,2,1,3,2,4,1,1,3,1,7,6,7,5,10,7,12,3,6,2,7,10,8,12,7,6,8,1,0,5,9,5,10,5,6,4,7,5,6,10,7,12,11,15,12,7,13,11,10,10,10,9,18,16,19,9,6,10,3,5,8,12,14,2,4,5,6,5,8,3,3,2,4,3,3,1,3,5,1
S01010654,Inverness Kinmylies and South West - 05,Highland,733,6,6,8,4,11,11,5,8,11,12,6,7,11,12,6,7,11,4,8,11,7,5,8,10,2,14,11,11,6,15,10,10,11,1,22,12,5,7,10,21,8,12,9,6,13,11,5,1,10,11,6,7,10,11,11,13,5,10,9,8,13,19,14,10,6,9,8,14,7,10,8,7,8,3,4,4,1,8,7,4,7,2,4,4,2,4,2,0,2,1,2
S01010655,Inverness West Rural - 01,Highland,965,2,4,6,7,0,13,9,12,12,13,11,15,12,13,20,18,11,12,22,8,8,8,4,5,11,8,5,4,10,11,0,3,5,2,9,2,15,7,10,7,8,6,7,12,18,11,9,10,13,19,17,21,34,13,23,15,19,17,18,15,17,19,15,19,23,12,12,9,11,14,15,13,10,16,15,9,12,2,7,4,5,8,6,6,4,8,1,3,4,1,6
S01010656,Inverness West Rural - 02,Highland,711,8,10,20,12,20,14,16,9,13,8,12,5,8,5,9,8,9,4,4,8,8,4,6,7,11,3,8,16,12,8,8,8,14,19,4,14,12,9,5,16,9,11,5,9,9,7,3,9,8,10,14,5,5,15,9,5,7,9,4,6,1,11,6,6,7,6,6,8,6,8,7,8,14,6,5,4,9,8,5,4,4,4,4,1,1,1,0,3,2,2,1
S01010657,Inverness West Rural - 03,Highland,696,7,4,11,8,3,9,8,3,9,4,13,8,5,2,11,7,6,9,5,5,9,8,8,2,4,4,6,4,3,8,5,2,6,6,4,11,13,7,4,10,5,12,11,10,3,7,5,7,9,7,21,8,12,14,24,9,17,14,16,11,9,6,11,9,10,18,10,11,8,9,14,5,7,7,5,9,11,12,11,7,0,2,1,3,2,3,3,0,2,2,6
S01010658,Inverness West Rural - 04,Highland,773,7,5,2,6,6,5,3,6,14,5,9,7,10,4,6,11,3,9,8,8,7,2,9,2,8,4,5,6,6,8,14,11,2,4,7,6,12,9,7,4,8,9,7,7,10,2,12,12,13,12,15,18,9,13,14,12,19,17,10,14,19,13,15,16,8,15,13,7,8,14,9,13,13,21,6,12,10,11,9,10,1,6,5,5,2,1,3,5,1,1,1
S01010659,Inverness West Rural - 05,Highland,664,3,2,5,4,4,5,6,6,7,6,4,5,14,7,4,9,8,5,8,4,1,2,8,4,0,12,2,5,6,3,7,2,8,1,5,7,3,5,4,12,15,7,8,8,7,8,3,7,9,14,15,13,16,19,15,16,13,14,12,5,13,7,9,9,9,6,14,4,13,15,15,11,15,7,5,6,12,9,5,2,11,7,1,2,6,3,3,1,3,0,4
S01010660,Inverness West Rural - 06,Highland,678,4,4,6,4,10,4,9,10,6,13,5,12,7,9,9,1,4,4,4,5,12,7,8,8,3,11,12,10,12,9,6,5,7,8,9,4,5,8,8,7,1,9,7,9,10,7,3,10,7,14,13,14,14,5,11,23,5,7,7,8,6,9,13,8,10,6,3,7,8,11,9,8,15,8,3,11,11,5,7,6,5,2,1,3,5,5,12,1,5,1,1
S01010661,Inverness West Rural - 07,Highland,545,8,3,6,8,5,7,4,6,7,6,3,4,0,6,4,4,5,4,7,3,4,1,6,4,3,3,1,4,7,2,2,4,6,5,12,15,14,7,6,1,7,1,6,2,6,3,6,8,3,10,10,11,3,7,7,11,16,8,12,5,7,4,10,4,5,5,9,14,6,10,16,6,6,10,10,6,5,7,5,3,0,5,5,6,5,3,2,1,1,6,14
S01010662,Inverness West Rural - 08,Highland,813,5,2,6,7,7,10,5,7,7,14,3,9,10,9,16,9,3,11,8,4,6,7,15,8,4,8,14,5,11,9,5,16,13,2,4,6,8,9,12,12,10,6,5,8,9,10,7,12,14,18,8,21,16,13,12,21,5,14,13,8,11,17,25,17,13,11,8,13,8,8,14,16,19,6,6,11,2,4,8,3,4,5,2,2,6,6,3,2,3,0,4
S01010663,Inverness West Rural - 09,Highland,1016,3,8,3,10,8,11,9,7,9,10,12,10,18,18,15,13,15,12,13,10,5,11,4,4,13,5,7,3,1,8,4,4,7,15,12,8,5,7,13,7,11,6,12,11,11,19,17,10,15,17,15,15,14,16,23,34,11,15,16,14,18,18,17,10,22,13,16,11,27,18,15,8,21,20,15,9,14,12,14,7,9,4,7,11,1,2,3,3,3,1,8
S01010664,Loch Ness - 01,Highland,830,3,4,3,3,7,9,8,2,10,11,4,10,8,12,13,11,11,8,5,10,5,8,5,1,5,10,4,9,9,1,3,3,5,8,0,4,6,5,12,5,4,7,8,14,8,12,14,11,16,18,13,14,15,17,11,23,18,21,19,14,14,17,12,20,15,17,17,11,16,13,6,18,8,13,14,8,6,7,10,4,8,5,6,6,7,3,2,0,1,1,8
